date,index_return,front_settle,oi_front,oi_front_two,flow_SVXY,flow_UVXY,flow_lower,contracts_lower,share_oi_front_lower,share_oi_front_two_lower,flow_central,contracts_central,share_oi_front_central,share_oi_front_two_central,flow_upper,contracts_upper,share_oi_front_upper,share_oi_front_two_upper
2014-12-31,0.0861622358554872,18.025,115485,195795,87292016.46025884,60622017.803953506,147914034.26421234,8206.049057653943,0.07105727200635531,0.04191143317068333,147914034.26421234,8206.049057653943,0.07105727200635531,0.04191143317068333,147914034.26421234,8206.049057653943,0.07105727200635531,0.04191143317068333
2015-01-02,-0.0060218291305984,17.825,111105,193774,-6211512.839745853,-4098698.3126946464,-10310211.1524405,-578.4129678788499,0.005206003041076909,0.002984987500277901,-10461173.811290024,-586.8821212504922,0.005282229613883194,0.003028693845668109,-37860896.39247875,-2124.033458203576,0.019117352578223987,0.010961395533991022
2015-01-05,0.063106796116505,19.125,104245,187765,60589112.63069573,49132037.59346013,109721150.22415586,5737.05360649181,0.05503432880705846,0.03055443563226272,114142921.13501821,5968.257314249318,0.057252216549947894,0.031785781771093216,432510426.7171079,22614.924272789955,0.216940134037987,0.12044270376688922
2015-01-06,0.0313055852009962,19.875,97339,181546,29289138.736072145,25459055.926366057,54748194.6624382,2754.626146537771,0.028299305997984067,0.015173158023518948,57479058.44952708,2892.0280980894127,0.02971088770266196,0.015930001752114686,220875741.7103451,11113.244865929313,0.11417052636588945,0.061214484846426324
2015-01-07,-0.0496376394800414,18.85,94806,183958,-47953324.75867523,-37812396.146780066,-85765720.90545529,-4549.90561832654,0.047991747551067866,0.024733393591616238,-90543626.52144893,-4803.375412278458,0.05066531034194521,0.026111261332904562,-334899370.8822658,-17766.54487439076,0.18739895021824313,0.09657935438736429
2015-01-08,-0.054970335391694,17.675,89742,180715,-56401371.95496897,-36722998.627141014,-93124370.58210999,-5268.705549199999,0.05870947325889772,0.029154777130841376,-98543504.4082625,-5575.304351245403,0.06212592043018211,0.030851364586478174,-340372351.4003188,-19257.27589252157,0.21458487544874832,0.10656157979427038
2015-01-09,0.0516203407198669,18.625,88622,187655,51014567.000525914,36925553.26268167,87940120.26320758,4721.617195340004,0.053278161126356936,0.02516115848413314,93994633.03031014,5046.691706325377,0.056946262850368724,0.026893457175803347,333484249.151255,17905.19458530228,0.20204006437794544,0.0954154943129801
2015-01-12,0.041164291803678,19.575,83303,185750,38703755.92071234,32232870.530392613,70936626.45110495,3623.8378774510834,0.04350188921708802,0.019509221412926426,77880244.3683611,3978.55654499929,0.047760063202997374,0.021418877765810446,282138338.1009794,14413.197348709036,0.1730213479551641,0.07759460214648202
2015-01-13,0.0209479227618492,20.175,76641,182326,19126709.181083303,17375650.781015746,36502359.962099046,1809.2867391374991,0.02360729556161192,0.009923361117654636,40524041.72087342,2008.6266032651015,0.026208251500699383,0.011016676739823731,149418809.34307176,7406.136770412479,0.09663413538983676,0.04062029974009455
2015-01-14,0.0098680436029834,20.575,75137,190284,8843382.356593579,8494424.766384073,17337807.12297765,842.6637726842115,0.01121503084611059,0.004428453115785939,19444649.939021487,945.0619654445437,0.012577850665378492,0.004966586604467763,72266209.11269191,3512.330941078586,0.04674569041988083,0.018458361927847774
